HHID,plotID,org_fert,chem_fert,pesticides,hhlabor,hired_labor,cropID,area_planted,seed_cost,trans_cost,total_value_p_sell,total2_value_p_sell,sell_value_p_sell,gift_value_p_sell,cons_value_p_sell,food_prod_value_p_sell,animal_value_p_sell,seeds_value_p_sell,stored_value_p_sell,farm_capital,season,k,m,l,A,y,y_over_A,lnk,lnm,lnl,lnA,lny,lny_over_A,inflation,ctotal,region
2103000408,4.0,,,,24.0,0.0,SWEET POTATOES,0.25,,0.0,33333.33333333333,15.39157641198866,0.0,0.0,15.39157641198866,0.0,0.0,0.0,0.0,15000.0,1,6.926209385394898,0.0,24.0,0.25,15.39157641198866,133333.3333333333,1.9673457699225674,,3.1780538303479458,-1.2039728018424092,2.7338203735335367,11.800607537422009,0.8371777560511098,691.143347203939,2.0
2103000408,3.0,,,,21.0,0.0,CASSAVA,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,1,6.926209385394898,0.0,21.0,0.5,0.0,0.0,1.9673457699225674,,3.044522437723423,-0.5978369994009695,,,0.8371777560511098,691.143347203939,2.0
2103000409,3.0,,,,22.0,0.0,SWEET POTATOES,0.5,,0.0,33333.33333333333,17.421371083473716,0.0,4.355342770868429,13.06602831260529,0.0,0.0,0.0,0.0,15000.0,1,7.839616987563174,0.0,22.0,0.5,17.421371083473716,66666.66666666666,2.087543221941703,,3.091042453358316,-0.5978369994009695,2.8576976757595642,11.107460356862063,0.7396366991402477,592.2569313537725,2.0
2103000409,5.0,,,,40.0,0.0,CASSAVA,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,1,7.839616987563174,0.0,40.0,1.0,0.0,0.0,2.087543221941703,,3.6888794541139363,0.04879016487901111,,,0.7396366991402477,592.2569313537725,2.0
2103000409,6.0,,,,38.0,0.0,GROUNDNUTS,1.0,,0.0,468000.0,244.59605001197104,108.709355560876,27.177338890219,27.177338890219,0.0,0.0,27.177338890219,54.354677780438,15000.0,1,7.839616987563174,0.0,38.0,1.0,244.59605001197104,468000.0,2.087543221941703,,3.6375861597263857,0.04879016487901111,5.49960807435723,13.056223574899784,0.7396366991402477,592.2569313537725,2.0
2103000409,2.0,,,,18.0,0.0,CASSAVA,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,1,7.839616987563174,0.0,18.0,0.5,0.0,0.0,2.087543221941703,,2.8903717578961645,-0.5978369994009695,,,0.7396366991402477,592.2569313537725,2.0
2103000410,4.0,,,,20.0,0.0,CASSAVA,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34000.0,1,15.699407940228436,0.0,20.0,0.5,0.0,0.0,2.7678818908503775,,2.995732273553991,-0.5978369994009695,,,0.8371777560511098,893.4810107159419,2.0
2103000410,3.0,,,,0.0,0.0,FALLOW,0.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34000.0,1,15.699407940228436,0.0,0.0,0.25,0.0,0.0,2.7678818908503775,,,-1.2039728018424092,,,0.8371777560511098,893.4810107159419,2.0
2103000411,3.0,,,,52.0,2.0,MAIZE,0.25,,0.0,75000.0,39.19808493781587,26.13205662521058,0.0,13.06602831260529,0.0,0.0,0.0,0.0,16000.0,1,8.362258120067386,0.0,54.0,0.25,39.19808493781587,300000.0,2.150333023626616,,3.9889840465642745,-1.2039728018424092,3.6686278919758935,12.611537753638338,0.7396366991402477,371.1274681912408,2.0
2103000411,2.0,,,,45.0,0.0,SWEET POTATOES,0.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000.0,1,8.362258120067386,0.0,45.0,0.25,0.0,0.0,2.150333023626616,,3.8066624897703196,-1.2039728018424092,,,0.7396366991402477,371.1274681912408,2.0
2103000602,3.0,,,,55.0,0.0,COTTON,0.5,,0.0,68900.0,28.309753961255492,28.309753961255492,0.0,0.0,0.0,0.0,0.0,0.0,214000.0,1,87.92869880564116,0.0,55.0,0.5,28.309753961255492,137800.0,4.479087083222162,,4.007333185232471,-0.5978369994009695,3.3432064082084545,11.833558637561696,0.9408170188899074,1335.037047473314,2.0
